Категория;Отрасль;Таджикский;Русский (черновик);Исправление;Таблицы
показатель;Промышленность;Каогулянт;Коагулянт;;Ҷадвали 4
показатель;Промышленность;қолин ва маснуоти қолин;Ковры и ковровые изделия;;Ҷадвали 4
показатель;Промышленность;Регу сангмайда;Кокс и каменный уголь;;Ҷадвали 4
показатель;Промышленность;Маснуоти қаннодӣ;Кондитерские изделия;;Ҷадвали 4
показатель;Промышленность;Консерваҳои меваю сабзавот;Консервы фруктов и овощей;;Ҷадвали 4
показатель;Промышленность;Консентрати мис;Концентрат меди;;Ҷадвали 4
показатель;Промышленность;Консентрати руҳ;Концентрат ртути;;Ҷадвали 4
показатель;Промышленность;Консентрати сурб;Концентрат свинца;;Ҷадвали 4
показатель;Промышленность;Консентрати нуқра;Концентрат серебра;;Ҷадвали 4
показатель;Промышленность;Консентрати сурма;Концентрат сурмы;;Ҷадвали 4
показатель;Промышленность;Коняк;Коньяк;;Ҷадвали 4
показатель;Промышленность;Криолит;Криолит;;Ҷадвали 4
показатель;Промышленность;Орд;Кукуруза;;Ҷадвали 4, Ҷадвали 19
показатель;Промышленность;ноҳияи Лахш;Лахский район;;Ҷадвали 3, Ҷадвали 11
показатель;Промышленность;Маҳсулоти доруворӣ;Лекарственные средства;;Ҷадвали 4
показатель;Промышленность;Мазут;Мазут;;Ҷадвали 4
показатель;Промышленность;Майонез;Майонез;;Ҷадвали 4
показатель;Промышленность;Маснуоти макаронӣ;Макаронные изделия;;Ҷадвали 4
показатель;Промышленность;Маргарин;Маргарин;;Ҷадвали 4
показатель;Промышленность;Равғани маска;Масло подсолнечное;;Ҷадвали 4
показатель;Промышленность;Панири равғанӣ;Масляный сыр;;Ҷадвали 4
показатель;Промышленность;Мошинсозӣ;машиностроение;;Ҷадвали 2
показатель;Промышленность;Мебел;Мебель;;Ҷадвали 4
показатель;Промышленность;Ниқоби муҳофизатии таббӣ;Медицинские маски;;Ҷадвали 4
показатель;Промышленность;Дастпушакҳои тиббӣ;Медицинские маски;;Ҷадвали 4
показатель;Промышленность;Докаи тиббӣ;Медицинские перчатки;;Ҷадвали 4
показатель;Промышленность;истеҳсоли металлургӣ;металлургия;;Ҷадвали 2
показатель;Промышленность;Истеҳсоли металлургӣ ва истеҳсоли маснуоти тайёри филизӣ (DJ);металлургия и производство готовых металлических изделий (DJ);;Ҷадвали 2
показатель;Промышленность;Оби маъданӣ;Минеральная вода;;Ҷадвали 4
показатель;Промышленность;Вазорати саноат ва техналогияҳои нави ҶТ;Министерство промышленности и новых технологий Таджикистана;;Ҷадвали 8
показатель;Промышленность;Маҳсулоти шири холис;Молочные продукты;;Ҷадвали 4
показатель;Промышленность;Кабелҳои қуввагӣ барои шиддатнокии то 1 квт (км);Мощные кабели для напряжения до 1 кВ (км);;Ҷадвали 4
показатель;Промышленность;Трансформаторҳои қуввагӣ;Мощные трансформаторы;;Ҷадвали 4
показатель;Промышленность;Тахтасангҳои мармарӣ;Мраморные плитки;;Ҷадвали 4
показатель;Промышленность;Гӯшт ва калапочаи навъи якум;Мясо и колбасные изделия высшего сорта;;Ҷадвали 4
показатель;Промышленность;Матоъи нобофта;Не тканые материалы;;Ҷадвали 4
показатель;Промышленность;Нафт;Нефть;;Ҷадвали 4
показатель;Промышленность;ноҳияи Нуробод;Нурободский район;;Ҷадвали 3, Ҷадвали 11
показатель;Промышленность;Саноати коркард (D);Обрабатывающая промышленность (D);;Ҷадвали 2
показатель;Промышленность;Коркарди чӯбу тахта ва истеҳсолоти маснуот аз чӯб (DD);обработка дерева и производство деревянных изделий (DD);;Ҷадвали 2
показатель;Промышленность;Ҳаҷми истеҳсоли маҳсулот саноатӣ;Объем производства промышленной продукции;;Ҷадвали 2
показатель;Промышленность;Алюминийи аввалия;Первичный алюминий;;Ҷадвали 4
показатель;Промышленность;Плитаҳои тарабхонаҳо;Плитки для полов;;Ҷадвали 4
показатель;Промышленность;Саноати фаъолияти табъу нашр (D22);полиграфическая деятельность (D22);;Ҷадвали 2
показатель;Промышленность;Эзоҳ: ҷадвали мазкур аз рӯи номгӯи молу маҳсулоти истеҳсолшавандаи ҷадвали 4 ва дигар молу маҳсулоте, ки дар минтақаҳо истеҳсол карда мешавад, пур карда шавад.;Примечание: таблица должна быть заполнена по наименованию продукции, производимой в соответствии с таблицей 4 и другими продуктами, производимыми в регионах.;;Ҷадвали 3
показатель;Промышленность;Гази табиӣ;Природный газ;;Ҷадвали 4
показатель;Промышленность;Симҳои печӣ;Провод;;Ҷадвали 4
показатель;Промышленность;Маҳсулоти ҳасиб;Продукты hesap;;Ҷадвали 4
показатель;Промышленность;истеҳсоли автомобил (СL29);производство автомобилей;;Ҷадвали 2
показатель;Промышленность;истеҳсоли маснуоти тайёри филизӣ;производство готовых металлических изделий;;Ҷадвали 2
показатель;Промышленность;истеҳсоли дигар намуди нақлиёт (СL30);производство других видов транспортных средств;;Ҷадвали 2
показатель;Промышленность;истеҳсоли дигар маҳсулотҳо (СМ32);производство других продуктов;;Ҷадвали 2
показатель;Промышленность;Таъминоти об, тозакунӣ, коркарди партовҳо ва дастрасии коркарди дуюминдараҷа;производство и распределение воды, очистка сточных вод, утилизация отходов и повторная переработка;;Ҷадвали 2
показатель;Промышленность;Таъминоти об, тозакунӣ, коркарди партовҳо ва дастрасии коркарди дуюминдараҷа (Е(36+37+38+39));производство и распределение воды, очистка сточных вод, утилизация отходов и повторная переработка;;Ҷадвали 2
показатель;Промышленность;Таъминоти нерӯи барқ, газ, буғ ва тозакунии ҳаво;производство и распределение электроэнергии, газа, пара и кондиционирования воздуха;;Ҷадвали 2
показатель;Промышленность;Таъминоти нерӯи барқ, газ, буғ ва тозакунии ҳаво (D35);производство и распределение электроэнергии, газа, пара и кондиционирования воздуха;;Ҷадвали 2
показатель;Промышленность;истеҳсоли мошинолот ва таҷҳизот (DK);производство машин и оборудования;;Ҷадвали 2
показатель;Промышленность;истеҳсоли мошинолот ва таҷҳизот, ба дигар гӯрӯхбандиҳо дохил нашуда(СK28);производство машин и оборудования, не включенных в другие категории;;Ҷадвали 2
показатель;Промышленность;истеҳсоли мебел (СМ31);производство мебели;;Ҷадвали 2
показатель;Промышленность;Истеҳсоли ҳаргуна маҳсулоти ғайрифилизии маъданӣ (DI);производство нефилизных минеральных продуктов (DI);;Ҷадвали 2
показатель;Промышленность;истеҳсоли маҳсулоти хӯрока, аз он ҷумла нӯшокиҳо (D15);производство пищевых продуктов, в том числе напитков (D15);;Ҷадвали 2
показатель;Промышленность;истеҳсоли маводи хӯрока, якҷо бо нӯшокиҳо ва тамоку;производство пищевых продуктов, включая напитки и табачные изделия;;Ҷадвали 5
показатель;Промышленность;истеҳсоли маводи хӯрока, якҷоя бо нӯшокиҳо ватамоку (DА);производство пищевых продуктов, включая напитки и табачные изделия (DА);;Ҷадвали 2
показатель;Промышленность;Истеҳсоли маснуоти резинӣ ва пластмассӣ (DH);производство резиновых и пластмассовых изделий (DH);;Ҷадвали 2
показатель;Промышленность;истеҳсоли маводи сохтмонӣ;производство строительных материалов;;Ҷадвали 5
показатель;Промышленность;истеҳсоли маснуоти тамоку (D16);производство табачных изделий (D16);;Ҷадвали 2
показатель;Промышленность;истеҳсоли воситаҳои нақлиёт ва дастгоҳҳо (DM);производство транспортных средств и оборудования;;Ҷадвали 2
показатель;Промышленность;истеҳсоли воситаҳои нақлиёт ва дастгоҳҳо (СL(29+30));производство транспортных средств и оборудования;;Ҷадвали 2
показатель;Промышленность;Саноати селулозаю қоғаз (D21);производство целлюлозы и бумаги (D21);;Ҷадвали 2
показатель;Промышленность;истеҳсоли селулоза, қоғаз, фаъолияти табъу нашр (DЕ);производство целлюлозы, бумаги и полиграфическая деятельность (DЕ);;Ҷадвали 2
показатель;Промышленность;истеҳсоли таҷҳизоти барқӣ (DL);производство электрооборудования;;Ҷадвали 2
показатель;Промышленность;истеҳсоли таҷҳизоти барқӣ (СJ27);производство электрооборудования;;Ҷадвали 2
показатель;Промышленность;истеҳсоли нерӯи барқ;производство электроэнергии;;Ҷадвали 5
показатель;Промышленность;Хуроки паранда ва моҳӣ;Птицеводческая и рыбная продукция;;Ҷадвали 4
показатель;Промышленность;Равғани растанӣ;Растительное масло;;Ҷадвали 4
показатель;Промышленность;ноҳияи Рашт;Раштский район;;Ҷадвали 3, Ҷадвали 11
показатель;Промышленность;Пойафзоли резини;Резиновые изделия;;Ҷадвали 4
показатель;Промышленность;таъмир ва насби мошин ва таҷҳизотҳо (СМ33);ремонт и монтаж машин и оборудования;;Ҷадвали 2
показатель;Промышленность;Биринҷ;Рис;;Ҷадвали 4
показатель;Промышленность;ноҳияи Рӯдакӣ;Рудакинский район;;Ҷадвали 3, Ҷадвали 11
показатель;Промышленность;ноҳияи Сангвор;Сангворский район;;Ҷадвали 3, Ҷадвали 11
показатель;Промышленность;Мошинҳои кишоварзӣ;Сельскохозяйственные машины;;Ҷадвали 4
показатель;Промышленность;Папиросу сигаретҳо;Сигареты;;Ҷадвали 4
показатель;Промышленность;Вилояти Суғд;Согдийская область;;Ҷадвали 3
показатель;Промышленность;Намаки ошӣ, истихроҷ ва коркард;Соль, добыча и переработка;;Ҷадвали 4
показатель;Промышленность;Зарфҳои шишагин;Стеклянные контейнеры;;Ҷадвали 4
показатель;Промышленность;Маводи деворбоб;Строительные материалы;;Ҷадвали 4
показатель;Промышленность;Гаҷи сохтмонӣ;Строительный гипс;;Ҷадвали 4
показатель;Промышленность;Оҳаки бинокорӣ;Строительный известняк;;Ҷадвали 4
показатель;Промышленность;Меваи хушк;Сухие фрукты;;Ҷадвали 4
показатель;Промышленность;ноҳияи Тоҷикобод;Таджикободский район;;Ҷадвали 3, Ҷадвали 11
показатель;Промышленность;истеҳсоли нассоҷӣ ва дузандагӣ;текстильное и швейное производство;;Ҷадвали 5
показатель;Промышленность;истеҳсоли нассоҷӣ ва дӯзандагӣ (DВ);текстильное и швейное производство (DВ);;Ҷадвали 2
показатель;Промышленность;истеҳсоли нассоҷӣ (D17);текстильное производство (D17);;Ҷадвали 2
показатель;Промышленность;Матоъи адрас;Ткани хлопчатобумажные;;Ҷадвали 4
показатель;Промышленность;Ангишт;Уголь;;Ҷадвали 4
показатель;Промышленность;Рег;Угольный кокс;;Ҷадвали 4
показатель;Промышленность;ноҳияи Файзобод;Файзабадский район;;Ҷадвали 3, Ҷадвали 11
показатель;Промышленность;Фториди алюминий;Фторид алюминия;;Ҷадвали 4
показатель;Промышленность;Фториди калсий (флюорит);Фторид кальция (флюорит);;Ҷадвали 4
показатель;Промышленность;Вилояти Хатлон;Хатлонская область;;Ҷадвали 3
показатель;Промышленность;Истеҳсоли кимиёвӣ (DG);химическое производство (DG);;Ҷадвали 2
показатель;Промышленность;Нон ва маҳсулоти нонӣ;Хлеб и хлебобулочные изделия;;Ҷадвали 4
показатель;Промышленность;Нахи пахта;Хлопковые волокна;;Ҷадвали 4, Ҷадвали 19
показатель;Промышленность;Чигити пахта;Хлопковые нити;;Ҷадвали 4
показатель;Промышленность;Пахтаи курпабоб;Хлопок-сырец;;Ҷадвали 4
показатель;Промышленность;Калобаи пахтагин;Хлопчатобумажные ткани;;Ҷадвали 4, Ҷадвали 19
показатель;Промышленность;Семент;Цемент;;Ҷадвали 4, Ҷадвали 19
показатель;Промышленность;Хишти сементӣ;Цементный кирпич;;Ҷадвали 4
показатель;Промышленность;ноҳияи Шаҳринав;Шаҳринавский район;;Ҷадвали 3, Ҷадвали 11
показатель;Промышленность;истеҳсоли дӯзандагӣ (D18);швейное производство (D18);;Ҷадвали 2
показатель;Промышленность;Маҳсулоти дӯзандагӣ;Швейные изделия;;Ҷадвали 4
показатель;Промышленность;Ресмони абрешимӣ;Шелковые нити;;Ҷадвали 4
показатель;Промышленность;Матоъи абрешимии тайёр;Шелковые ткани готовые;;Ҷадвали 4
показатель;Промышленность;Пойафзоли чармин;Шерстяные изделия;;Ҷадвали 4
показатель;Промышленность;Либоси мактабӣ;Школьная форма;;Ҷадвали 4
показатель;Промышленность;Спирти этилии хом;Этиловый спирт сырой;;Ҷадвали 4
показатель;Промышленность;Маснуоти заргарӣ;Ювелирные изделия;;Ҷадвали 4
показатель;Прочее;Ранги акрилӣ (тонна);Акриловые краски (тонна);;Ҷадвали 37
показатель;Прочее;Профилҳои алюминӣ (тонна);Алюминиевые профили (тонна);;Ҷадвали 37
показатель;Прочее;бензин;Бензин;;Ҷадвали 37
показатель;Прочее;Мањсулоти бетони (тонна);Бетонные изделия (тонна);;Ҷадвали 37
показатель;Прочее;Китобхонаҳои оммавӣ;Библиотеки;;Ҷадвали 26
показатель;Прочее;бо методи биологӣ;биологическим методом;;Ҷадвали 9
показатель;Прочее;аз он: давлатӣ (адад);в том числе государственных (единиц);;Ҷадвали 29
показатель;Прочее;аз ҳисоби квотаи Президентӣ–ҳамагӣ;в том числе за счет президентской квоты - всего;;Ҷадвали 20
показатель;Прочее;аз он ҷумла, ҷумҳуриявӣ (соат);в том числе республиканских (часов);;Ҷадвали 29
показатель;Прочее;аз он ҷумла: бо болопӯши сахт;в том числе: с твердым покрытием;;Ҷадвали 16
показатель;Прочее;аз онҳо: бо болопӯши мукаммал;в том числе: с усовершенствованным покрытием;;Ҷадвали 16
показатель;Прочее;Иқтидори муассисаҳои амбулаторию дармонгоҳӣ (ҳазор қабул дар як баст);Вместимость амбулаторно-поликлинических учреждений (тыс. приемов в смену);;Ҷадвали 24
показатель;Прочее;татбиқ дар истеҳсолот;внедрение в производство;;Ҷадвали 21
показатель;Прочее;ҳавлигӣ (км);внутриквартальные сети (км);;Ҷадвали 9
показатель;Прочее;бо табибон (нафар табиб);врачами (на человек);;Ҷадвали 24
показатель;Прочее;Ҳамагӣ дар МОИ;Всего в ОАО;;Ҷадвали 36
показатель;Прочее;таҳсилоти дуюми олии касбӣ;второе высшее профессиональное образование;;Ҷадвали 20
показатель;Прочее;Таҳсилоти дуюми олии касбӣ;Второе высшее профессиональное образование;;Ҷадвали 20
показатель;Прочее;Рӯзномаҳо (теъдоди шартии нашри солона 4 варақ бо формати А-2);Газеты (годовой тираж 4 страницы в формате А-2);;Ҷадвали 30
показатель;Прочее;Корҳои ҷустуҷӯию геологӣ -ҳамагӣ;Геологоразведочные работы - всего;;Ҷадвали 8
показатель;Прочее;Зичкунак барои профил (тонна);Герметик для профилей (тонна);;Ҷадвали 37
показатель;Прочее;Саридораи геологияи назди ҲҶТ;Государственный комитет по геологии при Правительстве Таджикистана;;Ҷадвали 8
показатель;Прочее;Маеъи ҳамворкунанда (тонна);Грунтовки (тонна);;Ҷадвали 37
показатель;Прочее;Дару терезаҳои тахтагӣ;Двери и окна деревянные;;Ҷадвали 37
показатель;Прочее;сузишвории дизелӣ;Дизельное топливо;;Ҷадвали 37
показатель;Прочее;Дарозии роҳҳои оҳан – ҳамагӣ: (км);Длина железных дорог – всего: (км);;Ҷадвали 16
показатель;Прочее;докторҳои илм;доктора наук;;Ҷадвали 21
показатель;Прочее;роҳҳои истифодаи умум – ҳамагӣ (км);дороги общего пользования – всего (км);;Ҷадвали 16
показатель;Прочее;Роҳҳо аз рӯи аҳамияташон;Дороги по значению;;Ҷадвали 16
показатель;Прочее;бо муассисаҳои томактабӣба 1000 кӯдакони синни томактабӣ(ҷой);дошкольными учреждениями на 1000 детей дошкольного возраста (мест);;Ҷадвали 23
показатель;Прочее;дигар иншоотҳо;другие объекты;;Ҷадвали 33
показатель;Прочее;Маҷаллаҷо (теъдоди шартии нашри солона 4 варақ бо формати А-2);Журналы (годовой тираж 4 страницы в формате А-2);;Ҷадвали 30
показатель;Прочее;аз ҳисоби шартнома;за счет контракта;;Ҷадвали 20
показатель;Прочее;аз ҳисоби шартномаҳо;за счет контрактов;;Ҷадвали 20
показатель;Прочее;аз ҳисоби корхонаҳо;за счет предприятий;;Ҷадвали 20
показатель;Прочее;аз ҳисоби бурсияҳо (тибқи созишномаҳои байналмилалӣ);за счет стипендий (по международным соглашениям);;Ҷадвали 20
показатель;Прочее;тандурустӣ;здравоохранение;;Ҷадвали 33
показатель;Прочее;аз ҳисоби хоҷагидорӣ амалкунанда (КВД);из них действующих на основе хозяйственного расчета (КВД);;Ҷадвали 24
показатель;Прочее;номзадҳои илм;кандидаты наук;;Ҷадвали 21
показатель;Прочее;Хишт (њаз.дона);Кирпич (тыс. штук);;Ҷадвали 37
показатель;Прочее;Шумораи корҳои илмии татқиқотии амалигардида (адад);Количество выполненных научно-исследовательских работ (единиц);;Ҷадвали 21
показатель;Прочее;Шумораи хатмкунандагон дар зинаи докторантура (анъанавӣ);Количество выпускников в докторантуре (традиционная);;Ҷадвали 22
показатель;Прочее;Шумораи хатмкунандагон дар зинаи докторантура аз рўи ихтисос (PhD);Количество выпускников в докторантуре по специальности (PhD);;Ҷадвали 22
показатель;Прочее;Шумораи хатмкунандагон дар зинаи аспирантура;Количество выпускников на уровне аспирантуры;;Ҷадвали 22
показатель;Прочее;Шумораи хатмкунандагон дар зинаи магистратура;Количество выпускников на уровне магистратуры;;Ҷадвали 22
показатель;Прочее;Шумораи хатмкунандагони муассисаҳои таҳсилоти олии касбӣ;Количество выпускников учреждений высшего профессионального образования;;Ҷадвали 20
показатель;Прочее;Шумораи хатмкунандагони муассисаҳои таҳсилоти олии касбии давлатҳои хориҷӣ;Количество выпускников учреждений высшего профессионального образования иностранных государств;;Ҷадвали 20
показатель;Прочее;Шумораи хатмкунандагони муассисаҳои таҳсилоти ибтидоии касбӣ– ҳамагӣ;Количество выпускников учреждений начального профессионального образования – всего;;Ҷадвали 20
показатель;Прочее;Шумораи хатмкунандагони муассисаҳои таҳсилоти умумӣ– ҳамагӣ(ҳазор нафар);Количество выпускников учреждений общего образования – всего (тыс. человек);;Ҷадвали 23
показатель;Прочее;Шумораи хатмкунандагони муассисаҳои таҳсилоти миёнаи касбӣ– ҳамагӣ;Количество выпускников учреждений среднего профессионального образования - всего;;Ҷадвали 20
показатель;Прочее;Шумораи кӯдакон дар муассисаҳои томактабӣновобаста аз шакли моликият (ҳазор нафар);Количество детей в дошкольных учреждениях в зависимости от формы собственности (тыс. человек);;Ҷадвали 23
показатель;Прочее;Шумораи кӯдакони синни томактабӣ(ҳазор нафар);Количество детей дошкольного возраста (тыс. человек);;Ҷадвали 23
показатель;Прочее;Шумораи кӯдакони синни мактабӣ(ҳазор нафар);Количество детей школьного возраста (тыс. человек);;Ҷадвали 23
показатель;Прочее;Шумораи муассисаҳои томактабӣ(адад);Количество дошкольных учреждений (единиц);;Ҷадвали 23
показатель;Прочее;Шумораи ихтироъот (адад);Количество изобретений (единиц);;Ҷадвали 21
показатель;Прочее;Теъдоди кадрҳо(ҳазор нафар);Количество кадров (тыс. человек);;Ҷадвали 26
показатель;Прочее;Шумораи кати беморхонаҳо (ҳазор кат);Количество коек больниц (тыс. коек);;Ҷадвали 24
показатель;Прочее;Шумораи кормандони тиббӣ(ҳазор нафар);Количество медицинских работников (тыс. человек);;Ҷадвали 24
показатель;Прочее;Миқдори муассисаҳои тиббӣ (воҳид);Количество медицинских учреждений (единиц);;Ҷадвали 24
показатель;Прочее;Миқдори ҷой дар хонаҳои кӯдакон (ҷой);Количество мест в детских домах (мест);;Ҷадвали 24
показатель;Прочее;Миқдори ҷой дар хонаҳои пиронсолон ва маъюбон (ҷой);Количество мест в домах престарелых и инвалидов (мест);;Ҷадвали 24
показатель;Прочее;Миқдори ҷойҳо дар муассисаҳои томактабӣ(ҳазор ҷой);Количество мест в дошкольных учреждениях (тыс. мест);;Ҷадвали 23
показатель;Прочее;Шумораи муассисаҳои илмӣ(адад);Количество научных учреждений (единиц);;Ҷадвали 21
показатель;Прочее;Шумораи соҳибкорони (ҳазор нафар);Количество предпринимателей (тыс. человек);;Ҷадвали 33
показатель;Прочее;Шумораи қабули донишҷӯён ба муассисаҳои таҳсилоти миёнаи касбӣ– ҳамагӣ;Количество приемов студентов в учреждения среднего профессионального образования - всего;;Ҷадвали 20
показатель;Прочее;Шумораи қабули хонандагони муассисаҳои таҳсилоти ибтидоии касбӣ– ҳамагӣ;Количество приемов учащихся в учреждения начального профессионального образования - всего;;Ҷадвали 20
показатель;Прочее;Шумораи корҳои илмии татқиқотии идомаёбанда (адад);Количество продолжающихся научно-исследовательских работ (единиц);;Ҷадвали 21
показатель;Прочее;Микдори ҷойҳои кори дар субъектҳо (адад);Количество рабочих мест в субъектах (единиц);;Ҷадвали 36
показатель;Прочее;Миқдори ҷойҳои кори дар субъектҳо (адад);Количество рабочих мест в субъектах (единиц);;Ҷадвали 36
показатель;Прочее;Миқдори радиотрансляторҳо (воҳид);Количество радиотрансляторов (единиц);;Ҷадвали 29
показатель;Прочее;Шумораи кормандони муассисаҳои илмӣ(ҳазор нафар);Количество сотрудников научных учреждений (тыс. человек);;Ҷадвали 21
показатель;Прочее;Шумораи субъектҳо МОИ (адад);Количество субъектов СЭЗ (единиц);;Ҷадвали 36
показатель;Прочее;Миқдори телетрансляторҳо (воҳид);Количество телетрансляторов (единиц);;Ҷадвали 29
показатель;Прочее;Шумораи хонандагон (нафар);Количество учащихся (человек);;Ҷадвали 26
показатель;Прочее;Шумораи хонандагони муассисаҳои таҳсилоти умумӣ– ҳамагӣ(ҳазор нафар);Количество учащихся учреждений общего образования – всего (тыс. человек);;Ҷадвали 23
показатель;Прочее;Шумораи муаллимони муассисаҳои таҳсилоти умумии рӯзона (ҳазор нафар);Количество учителей учреждений общего образования дневного обучения (тыс. человек);;Ҷадвали 23
показатель;Прочее;Миқдори муассисаҳои оммавӣ – фарҳангӣ (воҳид);Количество учреждений культуры (единиц);;Ҷадвали 26
показатель;Прочее;Шумораи муассисаҳои таҳсилоти умумӣ(адад);Количество учреждений общего образования (единиц);;Ҷадвали 23
показатель;Прочее;Миқдори хонаҳои тиббӣ(воҳид) (бунгоҳҳои тиббӣ);Количество фельдшерско-акушерских пунктов (единиц) (медицинских пунктов);;Ҷадвали 24
показатель;Прочее;Шумораи филиал намояндагиҳои шахсони ҳуқуқии хориҷӣ;Количество филиалов и представительств иностранных юридических лиц;;Ҷадвали 33
показатель;Прочее;Миқдори намоиши барномаҳои телевизионӣ дар як шабонарӯз (соат);Количество часов показа телевизионных программ в сутки (часов);;Ҷадвали 29
показатель;Прочее;Миқдори радиошунавонӣ дар як шабонарӯз (соат);Количество часов радиовещания в сутки (часов);;Ҷадвали 29
показатель;Прочее;Шумораи шахсони ҳуқуқӣ;Количество юридических лиц;;Ҷадвали 33
показатель;Прочее;Ширинињои љуворимака ва офтобпараст (тонна);Конфеты и жевательные массы (тонна);;Ҷадвали 37
показатель;Прочее;бо катҳо дар беморхонаҳо (кат);кроватями в больницах (кровать);;Ҷадвали 24
показатель;Прочее;водопроводҳои магистралӣ (км);магистральные водопроводы (км);;Ҷадвали 9
показатель;Прочее;мазут;Мазут;;Ҷадвали 37
показатель;Прочее;Макарон (тонна);Макароны (тонна);;Ҷадвали 37
показатель;Прочее;корхонаҳои хурд;Малые предприятия;;Ҷадвали 33
показатель;Прочее;писарон;мальчики;;Ҷадвали 20
показатель;Прочее;Мебел (ҳаз.сомонӣ);Мебель (тыс. сомони);;Ҷадвали 37
показатель;Прочее;байналмилалӣ;международные;;Ҷадвали 16
показатель;Прочее;маҳаллӣ;местные;;Ҷадвали 16
показатель;Прочее;Металоконструкция (тонна);Металлоконструкции (тонна);;Ҷадвали 37
показатель;Прочее;Андоваи минералӣ (тонна);Минеральные удобрения (тонна);;Ҷадвали 37
показатель;Прочее;млн. нусха;Млн. экз.;;Ҷадвали 30
показатель;Прочее;МОИ «Данѓара»;МОИ «Дангар»;;Ҷадвали 37
показатель;Прочее;Осорхонаҳо;Музеи;;Ҷадвали 26
показатель;Прочее;Мактабҳои мусиқӣ (воҳид);Музыкальные школы (ед.);;Ҷадвали 26
показатель;Прочее;Номгӯй(адад);Название (ед.);;Ҷадвали 30
показатель;Прочее;Номгӯй (адад);Название (ед.);;Ҷадвали 30
показатель;Прочее;Номгӯи истеҳсоли молу маҳсулот;Наименование выпускаемой продукции;;Ҷадвали 37
показатель;Прочее;таклифҳои навоварӣ;нововведения;;Ҷадвали 21
показатель;Прочее;МОИ«Данғара»;ОАО «Данғара»;;Ҷадвали 36, Ҷадвали 37
показатель;Прочее;МОИ«Ишкошим»;ОАО «Ишкошим»;;Ҷадвали 36, Ҷадвали 37
показатель;Прочее;МОИ«Кўлоб»;ОАО «Кўлоб»;;Ҷадвали 37
показатель;Прочее;МОИ «Панљ»;ОАО «Панҷ»;;Ҷадвали 37
показатель;Прочее;МОИ«Панҷ»;ОАО «Панҷ»;;Ҷадвали 37
показатель;Прочее;Дарозии умумии роҳҳои автомобилгард – ҳамагӣ;Общая длина автомобильных дорог – всего;;Ҷадвали 16
показатель;Прочее;Ҳаҷми умумии ҳудуди обгирӣ аз иншоотҳои табии (млн.куб.м.);Общая площадь орошаемых территорий из природных источников (млн.куб.м);;Ҷадвали 9
показатель;Прочее;Шумораи умумии радиоҳо (адад);Общее количество радиостанций (единиц);;Ҷадвали 29
показатель;Прочее;Шумораи умумии донишҷӯён –муассисаҳои таҳсилоти олӣҳамагӣ;Общее количество студентов учреждений высшего образования - всего;;Ҷадвали 20
показатель;Прочее;Шумораи умумии хонандагони муассисаҳои таҳсилоти ибтидоии касбӣ-ҳамагӣ;Общее количество студентов учреждений начального профессионального образования – всего;;Ҷадвали 20
показатель;Прочее;Шумораи умумии донишҷӯёни муассисаҳои таҳсилоти касбӣ;Общее количество студентов учреждений профессионального образования;;Ҷадвали 20
показатель;Прочее;Шумораи умумии телевизионҳо (адад);Общее количество телевизионных станций (единиц);;Ҷадвали 29
показатель;Прочее;хӯроки умумӣ;общественное питание;;Ҷадвали 33
показатель;Прочее;Ҳаҷми гардиши об ва оби дубора истифодабаранда-ҳамагӣ: (млн.куб.м.);Объем оборота воды и повторного использования воды - всего: (млн.куб.м);;Ҷадвали 9
показатель;Прочее;Ҳаҷми маҳсулоти истеҳсолшуда (млн. сомонӣ);Объем произведенной продукции (млн. сомони);;Ҷадвали 36
показатель;Прочее;Азнавтайёркунии касбии хизматчиёни давлатӣ;Переподготовка государственных служащих;;Ҷадвали 31
показатель;Прочее;Перилањо (мм);Пиломатериалы (мм);;Ҷадвали 37
показатель;Прочее;Маҳсулоти пластикӣ (ҳаз. дона);Пластиковые изделия (тыс. штук);;Ҷадвали 37
показатель;Прочее;Зарфҳои пластикӣ (ҳаз.дона);Пластиковые контейнеры (тыс. штук);;Ҷадвали 37
показатель;Прочее;Профилҳои пластикӣ (ҳаз.метр);Пластиковые профили (тыс. метров);;Ҷадвали 37
показатель;Прочее;қубурњои пластикӣ (мм);Пластиковые трубы (мм);;Ҷадвали 37
показатель;Прочее;Такмили ихтисоси хизматчиёни давлатӣ;Повышение квалификации государственных служащих;;Ҷадвали 31
показатель;Прочее;шартномавӣ;под контракт;;Ҷадвали 22
показатель;Прочее;Халтаҳои полиэтиленӣ (тонна);Полиэтиленовые мешки (тонна);;Ҷадвали 37
показатель;Прочее;Қубурҳои полиэтиленӣ (метр);Полиэтиленовые трубы (метр);;Ҷадвали 37
показатель;Прочее;корхонаҳои миёна ва калон;предприятия среднего и крупного бизнеса;;Ҷадвали 33
показатель;Прочее;Хусусигардонии объектҳои моликияти давлатӣ (адад);Приватизация государственных объектов (ед.);;Ҷадвали 33
показатель;Прочее;Қабул ба аспирантура – ҳамагӣ;Прием в аспирантуру – всего;;Ҷадвали 22
показатель;Прочее;Қабул ба докторантура (анъанавї);Прием в докторантуру (традиционную);;Ҷадвали 22
показатель;Прочее;Қабул ба докторантура PhD;Прием в докторантуру PhD;;Ҷадвали 22
показатель;Прочее;Қабули унвонҷуён;Прием соискателей;;Ҷадвали 22
